step;lr;trainingloss;trainingppl
 6970;1.36; 4.62;  101.81
 6980;1.35; 4.61;  100.97
 6990;1.35; 4.67;  106.39
 7000;1.35; 4.66;  105.29
 7010;1.35; 4.64;  103.80
 7020;1.35; 4.53;   93.00
 7030;1.35; 4.70;  109.79
 7040;1.35; 4.72;  112.27
 7050;1.35; 4.72;  112.55
 7060;1.35; 4.65;  104.69
 7070;1.35; 4.54;   93.97
 7080;1.34; 4.59;   98.67
 7090;1.34; 4.68;  108.04
 7100;1.34; 4.69;  108.35
 7110;1.34; 4.69;  109.01
 7120;1.34; 4.64;  103.40
 7130;1.34; 4.72;  112.06
 7140;1.34; 4.71;  110.74
 7150;1.34; 4.52;   92.28
 7160;1.34; 4.59;   98.35
 7170;1.34; 4.67;  106.20
 7180;1.34; 4.69;  108.65
 7190;1.33; 4.72;  112.25
 7200;1.33; 4.51;   90.60
 7210;1.33; 4.63;  102.76
 7220;1.33; 4.64;  103.59
 7230;1.33; 4.57;   96.12
 7240;1.33; 4.64;  104.05
 7250;1.33; 4.72;  111.66
 7260;1.33; 4.58;   97.10
 7270;1.33; 4.65;  104.47
 7280;1.33; 4.66;  105.84
 7290;1.33; 4.66;  105.76
 7300;1.32; 4.62;  101.83
 7310;1.32; 4.70;  109.59
 7320;1.32; 4.76;  117.24
 7330;1.32; 4.77;  117.52
 7340;1.32; 4.81;  123.32
 7350;1.32; 4.68;  107.31
 7360;1.32; 4.66;  105.42
 7370;1.32; 4.63;  102.04
 7380;1.32; 4.56;   95.12
 7390;1.32; 4.64;  103.08
 7400;1.32; 4.65;  104.74
 7410;1.31; 4.69;  108.46
 7420;1.31; 4.75;  115.22
 7430;1.31; 4.70;  109.52
 7440;1.31; 4.58;   97.14
 7450;1.31; 4.61;  100.96
 7460;1.31; 4.47;   87.41
 7470;1.31; 4.59;   98.65
 7480;1.31; 4.61;  100.91
 7490;1.31; 4.62;  101.46
 7500;1.31; 4.52;   91.55
 7510;1.31; 4.62;  101.01
 7520;1.30; 4.64;  103.82
 7530;1.30; 4.75;  115.07
 7540;1.30; 4.66;  105.66
 7550;1.30; 4.58;   97.07
 7560;1.30; 4.57;   96.82
 7570;1.30; 4.59;   98.34
 7580;1.30; 4.51;   90.50
 7590;1.30; 4.57;   96.33
 7600;1.30; 4.59;   98.25
 7610;1.30; 4.63;  102.10
 7620;1.30; 4.64;  103.91
 7630;1.30; 4.57;   96.42
 7640;1.29; 4.45;   85.40
 7650;1.29; 4.47;   87.24
 7660;1.29; 4.55;   94.84
 7670;1.29; 4.56;   95.40
 7680;1.29; 4.54;   93.33
 7690;1.29; 4.57;   96.45
 7700;1.29; 4.50;   89.64
 7710;1.29; 4.66;  105.51
 7720;1.29; 4.64;  103.85
 7730;1.29; 4.54;   94.02
 7740;1.29; 4.50;   89.62
 7750;1.29; 4.62;  101.28
 7760;1.28; 4.60;   99.41
 7770;1.28; 4.59;   98.42
 7780;1.28; 4.50;   90.33
 7790;1.28; 4.43;   83.58
 7800;1.28; 4.47;   87.14
 7810;1.28; 4.53;   92.92
